id  order_list_id  product_id  product_count  cell_id  cost
1  1  1  1  224  50
2  1  2  2  225  40
3  2  3  3  226  2100
4  2  5  5  227  500000
5  3  2  2  429  40
6  3  3  3  429  1700
7  3  4  4  429  2500
8  3  5  5  429  100000
9  3  6  6  429  29
10  3  2  2  429  40
11  3  3  3  429  1700
12  3  4  4  429  2500
13  3  5  5  429  100000
14  3  6  6  429  29
15  3  2  2  429  40
16  3  3  3  429  1700
17  3  4  4  429  2500
18  3  5  5  429  100000
19  3  6  6  429  29
20  5  1  1  429  100
21  5  2  2  429  40
22  5  43  32  429  300
23  5  56  65  429  80
24  5  23  32  429  600
25  5  18  2  429  120
26  5  1  1  429  100
27  5  2  2  429  40
28  5  43  32  429  300
29  5  56  65  429  80
30  5  23  32  429  600
31  5  18  2  429  120
32  5  1  1  429  100
33  5  2  2  429  40
34  5  43  32  429  300
35  5  56  65  429  80
36  5  23  32  429  600
37  5  18  2  429  120
